name,lat,lng,category,religion,denomination,address,city,country,website,description
Igreja Adventista do Sétimo Dia - Abrantes,39.46398179,-8.20314546,amenity=place_of_worship,christian,seventh_day_adventist,"Av. Defensores de Chaves, 23, 2200-301 Abrantes",Abrantes,Portugal,https://www.adventistas.org.pt/abrantes,Igreja Adventista do Sétimo Dia em Abrantes. Horários: Sábado 10:00 | Terça 20:00
Igreja Adventista do Sétimo Dia - Albufeira,37.09026,-8.19643,amenity=place_of_worship,christian,seventh_day_adventist,"Caminho do Monte, Urb. Noémia Brito da Mana, Lt. B, Loja E - Torre da Medronheira, 8200-639 Albufeira",Albufeira,Portugal,https://www.adventistas.org.pt/albufeira,Igreja Adventista do Sétimo Dia em Albufeira. Horários: Sábado 10:00 | Quarta 20:00 Domingo 20:00
Igreja Adventista do Sétimo Dia - Alcanena,39.46071,-8.66137,amenity=place_of_worship,christian,seventh_day_adventist,"Rua do Monte Branco, nº 33 ou Apartado 117, 2380-057 Alcanena",Alcanena,Portugal,https://www.adventistas.org.pt/alcanena,Igreja Adventista do Sétimo Dia em Alcanena. Horários: Sábado 15:30
Igreja Adventista do Sétimo Dia - Almada,38.67521,-9.16199,amenity=place_of_worship,christian,seventh_day_adventist,"Rua da Liberdade, 33 A, 2800-155 Almada",Almada,Portugal,https://www.adventistas.org.pt/almada,Igreja Adventista do Sétimo Dia em Almada. Horários: Sábado 10:00 | Terça 20:00
Igreja Adventista do Sétimo Dia - Almeirim,39.20509,-8.62287,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Augusto do Carmo Ribeiro, 13 R/C, 2080-063 Almeirim",Almeirim,Portugal,https://www.adventistas.org.pt/almeirim,Igreja Adventista do Sétimo Dia em Almeirim. Horários: Sábado 10:00
Igreja Adventista do Sétimo Dia - Alpendurada,41.09291,-8.24612,amenity=place_of_worship,christian,seventh_day_adventist,"Rua de Lamas, nº160, 4575-028 Alpendurada e Matos",Alpendurada e Matos,Portugal,https://www.adventistas.org.pt/alpendurada,Igreja Adventista do Sétimo Dia em Alpendurada e Matos. Horários: Sábado 10:00 | Segunda 20:00 (Hora de Inverno) 20:30 (Hora de Verão)
Igreja Adventista do Sétimo Dia - Amadora,38.75712,-9.24008,amenity=place_of_worship,christian,seventh_day_adventist,"Rua 1º de Maio, 27 A, 2700-677 Amadora",Amadora,Portugal,https://www.iasdamadora.org,Igreja Adventista do Sétimo Dia em Amadora. Horários: Sábado 10:00 | Quarta 16:00 e 20:30
Igreja Adventista do Sétimo Dia - Angra do Heroísmo,38.65765,-27.21382,amenity=place_of_worship,christian,seventh_day_adventist,"Rua da Guarita, 43 C, 9700-096 Angra do Heroísmo",Angra do Heroísmo,Portugal,https://www.adventistas.org.pt/angradoheroismo,Igreja Adventista do Sétimo Dia em Angra do Heroísmo. Horários: Sábado 10:00 | Quarta 20:00 (na ig. da Praia da Vitória)
Igreja Adventista do Sétimo Dia - Arcos de Valdevez,41.84486,-8.4219,amenity=place_of_worship,christian,seventh_day_adventist,"Edifício de S. Bento, R/C - Largo de S. Bento, 4970-435 Arcos de Valdevez",Arcos de Valdevez,Portugal,https://www.adventistas.org.pt/arcosdevaldevez,Igreja Adventista do Sétimo Dia em Arcos de Valdevez. Horários: Sábado 10:00 | Terça 20:00
Igreja Adventista do Sétimo Dia - Arganil,40.21685,-8.05392,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Armando Nogueira de Carvalho, 3, 3300-030 Arganil",Arganil,Portugal,https://www.adventistas.org.pt/arganil,Igreja Adventista do Sétimo Dia em Arganil. Horários: Sábado 10:00 | Terça 19:30 (inverno) 20:30 (verão)
Igreja Adventista do Sétimo Dia - Atalaia do Campo,40.05313,-7.44267,amenity=place_of_worship,christian,seventh_day_adventist,"Rua da Igreja Adventista, 6230-130 Atalaia do Campo",Atalaia do Campo,Portugal,https://www.adventistas.org.pt/atalaiadocampo,Igreja Adventista do Sétimo Dia em Atalaia do Campo. Horários: Sábado 10:00 | Quarta 20:00
Igreja Adventista do Sétimo Dia - Atalaia do Gavião,39.45448,-7.87338,amenity=place_of_worship,christian,seventh_day_adventist,"Rua da Amieira, 16, 6040-011 Atalaia GAV",Atalaia GAV,Portugal,https://www.adventistas.org.pt/atalaiadogaviao,Igreja Adventista do Sétimo Dia em Atalaia GAV. Horários: Sábado 10:00
Igreja Adventista do Sétimo Dia - Aveiro,40.64356,-8.61465,amenity=place_of_worship,christian,seventh_day_adventist,"Praceta Mário Nascimento, nº 20, Quinta da Bela Vista - Esgueira, 3800-395 Aveiro",Aveiro,Portugal,https://iasdaveiro.pt/,Igreja Adventista do Sétimo Dia em Aveiro. Horários: Sábado 9:45 | Terça 20:30
Igreja Adventista do Sétimo Dia - Avintes,41.10105,-8.54993,amenity=place_of_worship,christian,seventh_day_adventist,"Rua de Agras, 133, 4430-759 Avintes",Avintes,Portugal,https://www.iasdavintes.pt,Igreja Adventista do Sétimo Dia em Avintes. Horários: Sábado 10:00 | Quarta 20:30
Igreja Adventista do Sétimo Dia - Baixa da Banheira - Vila Chã,38.65451,-9.04553,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Augusto Gil, 26-A, 2835-123 Baixa da Banheira",Baixa da Banheira,Portugal,https://www.adventistas.org.pt/baixadabanheiravilacha,Igreja Adventista do Sétimo Dia em Baixa da Banheira. Horários: Sábado 9:30 | Quarta 20:00
Igreja Adventista do Sétimo Dia - Barreiro,38.65603,-9.07322,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Júlio Diniz, 16 – Verderena, 2830-287 Barreiro",Barreiro,Portugal,https://www.iasdbarreiro.net,Igreja Adventista do Sétimo Dia em Barreiro. Horários: Sábado 9:45 | Terça 20:00
Igreja Adventista do Sétimo Dia - Beja,38.01181,-7.86175,amenity=place_of_worship,christian,seventh_day_adventist,"Rua do Canal, 29 R/C, 7800-483 Beja",Beja,Portugal,https://www.adventistas.org.pt/beja,Igreja Adventista do Sétimo Dia em Beja. Horários: Sábado 10:00 | Quarta 20:00
Igreja Adventista do Sétimo Dia - Benavente,38.98398,-8.81261,amenity=place_of_worship,christian,seventh_day_adventist,"Rua do Pinheiro, nº 2, 2130-045 Benavente",Benavente,Portugal,https://www.adventistas.org.pt/benavente,Igreja Adventista do Sétimo Dia em Benavente. Horários: Sábado 09:30 | Quarta 19:30
Igreja Adventista do Sétimo Dia - Braga,41.53453,-8.416080000000001,amenity=place_of_worship,christian,seventh_day_adventist,"Rua da Cruz Vermelha, 6 - Agrinha Nogueira, 4715-176 Braga",Braga,Portugal,https://www.adventistas.org.pt/braga,Igreja Adventista do Sétimo Dia em Braga. Horários: Sábado 10:00 | Quarta 20:00
