id,type,latitude,longitude,name,tourism,leisure,natural,aeroway,water,wikidata,wikipedia,description,FITOFISION,access,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,alt_name,barrier,boat,building,capacity,dog,ele,fee,golf,iata,icao,intermittent,landuse,leaf_type,loc_name,name:en,name:pt,noexit,note,old_loc_name,old_name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,owner,owner:wikidata,owner:wikipedia,ownership,place,sewer,source,sport,start_date,surface,wheelchair,wikimedia_commons
,Point,-23.0058183,-46.636751,Fazenda Vale Eldorado,,,,aerodrome,,Q31205396,,,,,,,,,,,,,,,,,,,,SDVH,,,,,,,,,,,,,,,,,,,,,,ourairports.com,,,,,
,Point,-22.9747345,-46.5442437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
,Point,-22.979458,-46.5344149,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9802131,-46.5378004,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9821032,-46.537515,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.976419,-46.7047603,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9774734,-46.7057121,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9773082,-46.7056348,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9774664,-46.7054715,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9775703,-46.7055778,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9856514,-46.6970155,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
