id,type,latitude,longitude,name,tourism,natural,aeroway,wikidata,addr:city,addr:housenumber,addr:street,ele,fee,icao,source
,Point,-23.0058183,-46.636751,Fazenda Vale Eldorado,,,aerodrome,Q31205396,,,,,,SDVH,ourairports.com
,Point,-22.979458,-46.5344149,,,tree,,,,,,,,,
,Point,-22.976419,-46.7047603,,,tree,,,,,,,,,
,Point,-22.9774734,-46.7057121,,,tree,,,,,,,,,
,Point,-22.9773082,-46.7056348,,,tree,,,,,,,,,
,Point,-22.9774664,-46.7054715,,,tree,,,,,,,,,
,Point,-22.9775703,-46.7055778,,,tree,,,,,,,,,
,Point,-22.9856514,-46.6970155,,,tree,,,,,,,,,
,Point,-22.989924,-46.6987968,,,tree,,,,,,,,,
,Point,-22.990788,-46.69924,,,tree,,,,,,,,,
,Point,-22.9892062,-46.7014698,,,tree,,,,,,,,,
,Point,-22.9914984,-46.6971524,,,tree,,,,,,,,,
,Point,-22.9914693,-46.697245,,,tree,,,,,,,,,
,Point,-22.9913799,-46.6972631,,,tree,,,,,,,,,
,Point,-22.9914236,-46.6970621,,,tree,,,,,,,,,
,Point,-22.9914527,-46.6969582,,,tree,,,,,,,,,
,Point,-22.9904796,-46.6964342,,,tree,,,,,,,,,
,Point,-22.9905254,-46.6963597,,,tree,,,,,,,,,
,Point,-22.9905482,-46.6964274,,,tree,,,,,,,,,
,Point,-23.0428272,-46.670315,,,tree,,,,,,,,,
,Point,-23.0444682,-46.6717319,,,tree,,,,,,,,,
,Point,-22.9645527,-46.5280384,,,tree,,,,,,,,,
,Point,-22.9645824,-46.5278077,,,tree,,,,,,,,,
,Point,-22.9644885,-46.5282583,,,tree,,,,,,,,,
,Point,-22.9658764,-46.5252435,,,tree,,,,,,,,,
,Point,-22.9657777,-46.525442,,,tree,,,,,,,,,
,Point,-22.9656641,-46.5256459,,,tree,,,,,,,,,
,Point,-22.9655998,-46.5257853,,,tree,,,,,,,,,
,Point,-22.9654764,-46.5259731,,,tree,,,,,,,,,
,Point,-22.9653776,-46.5261769,,,tree,,,,,,,,,
,Point,-22.965264,-46.5263701,,,tree,,,,,,,,,
,Point,-22.9651603,-46.5265739,,,tree,,,,,,,,,
,Point,-22.9650615,-46.5267724,,,tree,,,,,,,,,
,Point,-22.9649676,-46.5269816,,,tree,,,,,,,,,
,Point,-22.964859,-46.5271801,,,tree,,,,,,,,,
,Point,-22.9647503,-46.5273839,,,tree,,,,,,,,,
,Point,-22.9646564,-46.5275878,,,tree,,,,,,,,,
,Point,-22.9643626,-46.5283629,,,tree,,,,,,,,,
,Point,-22.9238734,-46.4783628,Morro do Guaripocaba,,peak,,,,,,1270,,,
,Point,-22.925685,-46.5336946,Pico de Bragança Paulista,,peak,,,,,,450,,,
,Point,-22.9264749,-46.5342581,,,cliff,,,,,,,,,
,Point,-22.9982658,-46.5144159,Mirante Por do sol,,peak,,,,,,961,,,
,Point,-22.9589783,-46.5414859,Museu o telefone,museum,,,,,126,Praça José Bonifácio,,,,
,Point,-22.9545516,-46.5412335,Museu Municipal Oswaldo Russomano,museum,,,,Bragança Paulista,520,Rua Coronel João Leme,,no,,
,Point,-22.9767583,-46.5363965,,,tree,,,,,,,,,
,Point,-22.976597,-46.5364911,,,tree,,,,,,,,,
,Point,-22.9762638,-46.5362307,,,tree,,,,,,,,,
,Point,-22.9763068,-46.536191,,,tree,,,,,,,,,
,Point,-22.976439,-46.5360941,,,tree,,,,,,,,,
,Point,-22.9764863,-46.5360743,,,tree,,,,,,,,,
,Point,-22.9762778,-46.5360194,,,tree,,,,,,,,,
,Point,-22.9762305,-46.5359225,,,tree,,,,,,,,,
,Point,-22.9761596,-46.5360813,,,tree,,,,,,,,,
,Point,-22.9760596,-46.5359085,,,tree,,,,,,,,,
,Point,-22.9760316,-46.5358641,,,tree,,,,,,,,,
,Point,-22.9759714,-46.5357626,,,tree,,,,,,,,,
,Point,-22.9759543,-46.5357357,,,tree,,,,,,,,,
,Point,-22.9761821,-46.5358314,,,tree,,,,,,,,,
,Point,-22.9761209,-46.5357345,,,tree,,,,,,,,,
,Point,-22.9760865,-46.5356505,,,tree,,,,,,,,,
,Point,-22.9760488,-46.5360649,,,tree,,,,,,,,,
,Point,-22.9767593,-46.536093,,,tree,,,,,,,,,
,Point,-22.9764842,-46.5363241,,,tree,,,,,,,,,
,Point,-22.9765304,-46.5362681,,,tree,,,,,,,,,
,Point,-22.9768593,-46.5360089,,,tree,,,,,,,,,
,Point,-22.9773064,-46.5358796,,,tree,,,,,,,,,
,Point,-22.977199,-46.5359482,,,tree,,,,,,,,,
,Point,-22.9771269,-46.5360077,,,tree,,,,,,,,,
,Point,-22.9770807,-46.5360416,,,tree,,,,,,,,,
,Point,-22.9770066,-46.5361373,,,tree,,,,,,,,,
,Point,-22.9769399,-46.536149,,,tree,,,,,,,,,
,Point,-22.9768679,-46.5362015,,,tree,,,,,,,,,
,Point,-22.9768088,-46.5362447,,,tree,,,,,,,,,
,Point,-22.977458,-46.5359669,,,tree,,,,,,,,,
,Point,-22.9776042,-46.5361151,,,tree,,,,,,,,,
,Point,-22.9775171,-46.5361817,,,tree,,,,,,,,,
,Point,-22.9763829,-46.5368528,,,tree,,,,,,,,,
,Point,-22.9764663,-46.5369822,,,tree,,,,,,,,,
,Point,-22.9765601,-46.5371318,,,tree,,,,,,,,,
,Point,-22.9766262,-46.5372277,,,tree,,,,,,,,,
,Point,-22.976288,-46.5367311,,,tree,,,,,,,,,
,Point,-22.9762263,-46.5366457,,,tree,,,,,,,,,
,Point,-22.9789344,-46.5304415,,,tree,,,,,,,,,
,Point,-22.9760859,-46.5364282,,,tree,,,,,,,,,
,Point,-22.9759409,-46.5362239,,,tree,,,,,,,,,
,Point,-22.9758885,-46.5361365,,,tree,,,,,,,,,
,Point,-22.9758258,-46.5360481,,,tree,,,,,,,,,
,Point,-22.975764,-46.5359546,,,tree,,,,,,,,,
,Point,-22.9757144,-46.5358763,,,tree,,,,,,,,,
,Point,-22.9756592,-46.535797,,,tree,,,,,,,,,
,Point,-22.9755965,-46.5357127,,,tree,,,,,,,,,
,Point,-22.9755507,-46.5356354,,,tree,,,,,,,,,
