id,type,latitude,longitude,name,addr:city,tourism,leisure,natural,amenity,aeroway,water,wikidata,wikipedia,description,FITOFISION,access,addr:housenumber,addr:postcode,addr:street,addr:suburb,alt_name,barrier,boat,building,capacity,denomination,dog,ele,email,fee,golf,height,iata,icao,intermittent,landuse,leaf_type,loc_name,name:en,name:pt,noexit,nohousenumber,note,old_loc_name,old_name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,owner,owner:wikidata,owner:wikipedia,ownership,phone,place,religion,service_times,sewer,source,sport,start_date,surface,wheelchair,wikimedia_commons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9838793,-46.5359911,Aeroporto Estadual Arthur Siqueira,Bragança Paulista,,,,,aerodrome,,Q3813428,,,,,,,,,,,,,,,,,,,,,BJP,SBBP,,,,,Estadual Arthur Siqueira Airport,Aeroporto Estadual Arthur Siqueira,,,,,,,,,,,,,,,,,,,,ourairports.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9565908,-46.5420558,Catedral Nossa Senhora da Conceição,Bragança Paulista,,,,place_of_worship,,,,,,,,,,,,,,,cathedral,,roman_catholic,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9500669,-46.5289591,Estádio Cicero De Souza Marques,Bragança Paulista,,stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soccer,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9656903,-46.5358956,Estádio Nabi Abi Chedid,Bragança Paulista,,stadium,,,,,Q5402133,pt:Estádio Nabi Abi Chedid,,,,157,12914-410,Rua Emílio Colella,Jardim Nova Bragança,Arena Red Bull Bragantino,,,,21209,,,,,,,,,,,,,Nabizão,,,,,O Estádio Nabi Abi Chedid será demolido nos próximos anos. Transformar em arena quando necessário.,Marcelão,Estádio Marcelo Stéfani,,Red Bull Bragantino,private,Q541744,pt:Red Bull Bragantino,Red Bull Bragantino,Q541744,pt:Red Bull Bragantino,private,,,,,,,soccer,1949,,limited,Category:Estádio Nabi Abi Chedid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9524837,-46.5423607,Igreja do Rosário,,,,,place_of_worship,,,,,,,,,,,,,,,church,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.8537593,-46.7179923,Igreja Santo Antônio,,,,,place_of_worship,,,,,,,,,,,,,,,church,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9456987,-46.5458869,Igreja São Francisco de Assis,,,,,place_of_worship,,,,,,,,,,Rua Bocaina,,,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9759176,-46.5334002,Jardim Japonês,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9982658,-46.5144159,Mirante Por do sol,,,,peak,,,,,,,,,,,,,,,,,,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9238734,-46.4783628,Morro do Guaripocaba,,,,peak,,,,,,,,,,,,,,,,,,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
