query,title,url,possible_phone,possible_whatsapp,city_guess,service_guess,score
site:facebook.com "transfer Orlando",Elite Airport Transfer Orlando,https://www.facebook.com/groups/580796136375285/posts/1639934107128144/,,wa.me/link,Orlando,Transfer,10
site:facebook.com "transfer Orlando",Skytours Orlando FL,https://www.facebook.com/skyoperators/,+14076687204,+14076687204,Orlando,Transfer,9
site:facebook.com "motorista Miami",Receptivo Brasileiro em Miami,https://www.facebook.com/ReceptivoBrasileiroMiami/,+13053037923,+13053037923,Miami,Motorista,9
site:facebook.com "transfer Orlando",ON Transportation Orlando,https://www.facebook.com/groups/RealtorOrlando/posts/2041832426599075/,+14078681475,+14078681475,Orlando,Transfer,9
site:facebook.com "transfer Orlando",Transfers For You,https://www.facebook.com/transfersforyou,+14074130878,+14074130878,Orlando,Transfer,9
site:facebook.com "transfer Orlando",Nery's Transportation,https://www.facebook.com/61575528651720/,+13528327403,+13528327403,Orlando,Transfer,8
site:facebook.com "transfer Orlando",Check-in Vip Orlando,https://www.facebook.com/CheckInVipOrlando/,+13217320325,+13217320325,Orlando,Transfer,9
site:facebook.com "motorista Orlando",Edinei Rodrigues Guia Vip,https://www.facebook.com/edineirodriguesorlando/,+14079888722,+14079888722,Orlando,Motorista,8
site:facebook.com "transfer Orlando",Comigo em Orlando,https://www.facebook.com/comigoemorlando/,+14079902525,+14079902525,Orlando,Transfer,9
site:facebook.com "transfer Orlando",Atendimento em Português Orlando,https://www.facebook.com/groups/1319130612162168/posts/2018098145598741/,+13212305776,+13212305776,Orlando,Transfer,8
site:facebook.com "transfer Orlando",JJ Transfer Orlando,https://jjtransfer.com/,+14077235355,+14077235355,Orlando,Transfer,9
site:facebook.com "transfer Orlando",Orlando Transportes,https://orlandotransportes.com/,+14079619669,+14079619669,Orlando,Transfer,9
site:facebook.com "motorista Miami",Global Receptivo Miami,https://www.facebook.com/globalreceptivo/,,,Miami,Motorista,5
site:facebook.com "transfer Orlando",Dona Gi Transfer Orlando,https://www.facebook.com/people/Dona-Gi-Transfer-Orlando/61577059031379/,,,Orlando,Transfer,6
site:facebook.com "transfer Orlando",Espaço Brasil de Orlando,https://www.facebook.com/lucenashows/,,,Orlando,Transfer,5
WebSearch,SunWay Transfers,https://sunwaytransfers.com/,+551151969363,+551151969363,Orlando,Transfer,10
WebSearch,Gator USA / Gator Tour,https://gatortransportationusa.com/,+16898670412,+16898670412,Orlando,Transfer,10
WebSearch,Orlando Transportes (Updated),https://orlandotransportes.com/,+16896807902,+16896807902,Orlando,Transfer,10
WebSearch,Transfer in Orlando,https://transferinorlando.com.br/,+14079532016,+14079532016,Orlando,Transfer,10
Instagram,Magic Transfer Orlando,https://www.instagram.com/magic.transferorlando/,+13214609089,+13214609089,Orlando,Transfer,10
Instagram,Kaly Transfer Orlando,https://www.instagram.com/kalytransferorlando/,+14077573449,+14077573449,Orlando,Transfer,10
WebSearch,1001 Transportation,https://motoristabrasileiromiami.com/,+14079460011,+14079460011,Miami,Motorista,10
WebSearch,Traslado em Miami,https://trasladomiami.com/,,,Miami,Transfer,7
WebSearch,Everglades Transport,https://evergladestransport.com/,,,Miami,Transfer,7
WebSearch,Miami Traslados,https://miamitraslados.com/,,,Miami,Transfer,7
Instagram,Bravus Tour & Services,https://www.instagram.com/bravustourservices/,,,Orlando,Transfer,8
WebSearch,JJ Transfer,https://jjtransfer.com/,,,Orlando,Transfer,7
Instagram,Rota Miami Beach,https://www.instagram.com/rota.miami/,,,Miami,Transfer,8
Instagram,Go Florida Brasil,https://www.instagram.com/goflorida_brasil/,,,Orlando,Transfer,8
